id,source,source_record_id,source_url,title,license,published,downloaded_at,local_folder,notes
1,dans_knaw,doi:10.34894/XP9ZCU,https://doi.org/10.34894/XP9ZCU,"Code List, lists of analysed policy documents, atlas.ti project with coded policy documents, and interview topic lists",CC0-1.0,2024-12-18T09:28:09Z,2026-03-07T15:04:14.971960+00:00,archive\opendata\dans_doi_10.34894_XP9ZCU_Code_List_lists_of_analysed_policy_documents_atlas.ti_project_with_coded_policy,
2,dans_knaw,doi:10.34894/EXOBXR,https://doi.org/10.34894/EXOBXR,Sjim Romme - PhD Project data for study 2,CC0-1.0,2024-08-23T17:26:02Z,2026-03-07T15:04:38.549226+00:00,archive\opendata\dans_doi_10.34894_EXOBXR_Sjim_Romme_-_PhD_Project_data_for_study_2,
3,dans_knaw,doi:10.34894/FULPNB,https://doi.org/10.34894/FULPNB,Study 2: How do undergraduate physiotherapy students experience the initiation of clinical placements in different healthcare settings worldwide?,CC0-1.0,2025-06-15T14:01:29Z,2026-03-07T15:04:40.596664+00:00,archive\opendata\dans_doi_10.34894_FULPNB_Study_2_How_do_undergraduate_physiotherapy_students_experience_the_initiation_of,
4,dans_knaw,doi:10.34894/N9QSVT,https://doi.org/10.34894/N9QSVT,Kennis over en gebruik van studiestrategieën,CC-BY-4.0,2025-09-19T14:49:50Z,2026-03-07T15:04:43.064563+00:00,archive\opendata\dans_doi_10.34894_N9QSVT_Kennis_over_en_gebruik_van_studiestrategieën,
