id,project_id,keyword
257,83,ddc:630
258,83,ddc:633
259,84,ddc:150
260,84,ddc:158
261,84,Psychologie
262,85,ddc:330
263,85,ddc:337
264,85,ddc:960
265,85,ddc:969
266,85,Mauritius
267,85,Globalisierung
268,86,ddc:610
269,87,ddc:690
270,87,ddc:300
271,87,ddc:305
272,87,Walz
273,87,handwerkliche Wanderschaft
274,87,Tradition
275,87,Wandergesell:innen
276,87,Internetplattform
277,88,ddc:090
278,88,Rapmusiker
279,88,Hip-Hop
280,88,Arabische Musik
281,88,Soziolinguistik
282,88,ssg:ssg4.1.2.4
283,88,ssg:ssg4.1.3.4
284,88,ssg:ssg3.2.2.4.4
285,89,ddc:300
286,90,ddc:610
287,90,ddc:618
288,90,Online-Publikation
289,90,Hochschulschrift
290,91,ddc:610
291,92,ddc:004
292,92,ddc:005
293,92,ddc:300
294,92,ddc:302
295,92,Wirkungserfassung von Serious Games
296,92,Wissenschaftskommunikation
297,93,ddc:610
298,94,ddc:610
299,95,ddc:610
300,96,ddc:300
301,96,ddc:302
302,96,identitätsbildende Prozesse bei Jugendlichen
303,96,Social-Media-Plattformen
304,96,Instagram und TikTok
305,96,Social-Media-Auftritte der Jugendlichen
306,97,ddc:610
307,98,ddc:300
308,98,ddc:305
309,98,ddc:360
310,98,Queers of Color
311,98,Emanzipationswege
312,98,Lebensrealitäten von queeren rassifizierten Personen
313,98,Queerfeindlichkeit
314,99,ddc:000
315,100,ddc:360
316,100,Emotionsorientierte Bewältigung
317,100,Problemzentrierte Bewältigung
318,100,Psychische Belastung
319,100,Frauenhaus
320,101,ddc:330
321,101,Digitaler Wandel
322,101,Qualitätsmanagement
323,101,Digitalisierung
324,101,IIoT-Systeme
325,102,ddc:610
326,102,Vaginismus
327,102,Wirkfaktoren zur Genesung eines Vaginismus
328,102,Zustand sexueller Zufriedenheit
329,103,ddc:150
330,103,ddc:152
331,103,sexuelle Selbstbestimmung
332,103,heterosexuelle Paarsexualität
333,104,ddc:943
334,105,ddc:300
335,105,ddc:304
336,105,Offene Beziehungsmodelle
337,105,Kindheit
338,106,ddc:300
339,106,ddc:304
340,107,ddc:360
341,107,ddc:362
342,107,Elektronische Publikation
343,107,Hochschulschrift
344,107,Online-Publikation
345,107,Zsfassung in engl. Sprache
346,108,ddc:650
347,108,ddc:658
348,108,Gamification
349,108,Gamification Elemente
350,108,Gamifizierte Website
351,108,Spielmechaniken
352,108,Human-Focused Design
353,108,User Experience
354,108,NGO-Kommunikationsstrategien
355,109,ddc:630
356,110,ddc:300
357,110,ddc:304
358,110,kulturelle Teilhabe
359,110,prozessoffene Arbeit
360,110,Partizipation fördern
361,111,ddc:620
362,111,Exoskelett
363,112,ddc:610
364,112,sexuelle Lust im Alter
365,112,körperliche Veränderungen
366,112,langjährige Beziehungen
367,113,ddc:610
368,114,ddc:610
369,115,ddc:610
370,116,ddc:300
371,117,ddc:610
372,118,ddc:610
373,119,ddc:610
374,119,ddc:618
375,120,ddc:370
376,120,ddc:371
377,121,ddc:610
378,122,ddc:610
379,123,ddc:610
380,123,ddc:614
381,123,Online-Publikation
382,123,Hochschulschrift
383,124,ddc:610
384,125,ddc:300
385,125,ddc:360
